Year;Month;Progress;2 Mean;3 Mean;4 Mean;5 Mean;AR 2 Mean;AR 3 Mean;AR 4 Mean;AR 5 Mean;AR 2 Mean Error;AR 3 Mean Error;AR 4 Mean Error;AR 5 Mean Error
2019;12;1.045013791408463;1.062124617084339;1.0162844711928218;0.9675818290832414;0.996160599874939;1.0527971390005688;1.0338751950962617;1.0185897027112258;1.02619384180915;0.00778334759210586;-0.011138596312201265;-0.026424088697237114;-0.01881994959931288
2020;1;0.8753003727448;0.86178048375389;0.8476177274531068;0.8404107138776302;0.8349116016851387;0.8530334284307536;0.8770327740233569;0.9070649058133123;0.8803303592862965;-0.02226694431404641;0.0017324012785568943;0.031764533068512346;0.005029986541496556
2020;2;0.8556483160781768;0.896153602129129;0.8729553703327969;0.8622335775883296;0.8621576479680133;0.9124792010256871;0.9019200761954995;0.8950088391663255;0.8994225940574914;0.05683088494751032;0.0462717601173227;0.039360523088148636;0.043774277979314546
2020;4;0.6869594256068179;0.8883125752106182;0.8994286422843426;0.8797407034285609;0.8863349374962513;0.8659968555449927;0.8950671212392212;0.8761565322411429;0.8846925304634855;;;;
2020;6;0.7335543185954607;0.8959120006233185;0.9160264690400745;0.890570904715078;0.8804872380820686;0.7426024596071206;0.7672020291864426;0.7433015867598345;0.7238848469978343;0.00904814101165985;0.03364771059098193;0.009747268164373768;-0.009669471597626433
2020;7;0.7883721686965909;0.9235291581291148;0.9445117602577792;0.9298179056211284;0.9097799702551524;0.7893111646823818;0.8085329484138489;0.8051961371967288;0.8047728338470252;0.0009389959857909469;0.02016077971725805;0.016823968500137898;0.016400665150434368
2020;8;0.8132577279552418;0.944921132252218;0.9658422587741694;0.960792847034718;0.9284492778617376;0.8494805658967138;0.8573691005277563;0.8685092225381693;0.8530646468885458;0.036222837941472075;0.04411137257251452;0.05525149458292755;0.039806918933304014
2020;9;0.7604529785412898;0.949116547351002;0.9747874384854393;0.9699387329932936;0.9253212854447704;0.949116547351002;0.9747874384854393;0.9699387329932936;0.9253212854447704;;;;
2020;10;0.743906041390749;0.945695239355948;0.9955773552417436;0.9931769968560384;0.9564750636126164;0.945695239355948;0.9955773552417436;0.9931769968560384;0.9564750636126164;;;;
2020;11;0.8215156347324368;0.9793989163336708;1.0263766820696858;1.00279372999734;0.9651575596370592;0.8858125288775115;0.9208810861011822;0.903010061976942;0.8911175834915065;0.06429689414507467;0.09936545136874542;0.08149442724450517;0.06960194875906967
2020;12;0.8627120921429272;1.018983181196762;1.0564210085257135;1.023466801246732;0.9830682215482855;0.9032692299911451;0.9121561419033113;0.8954239273332449;0.8842697759495595;0.040557137848217906;0.04944404976038408;0.03271183519031773;0.021557683806632255
2021;1;0.9242222624483794;0.8693913087599933;0.8662871134175267;0.8545383887760301;0.8473886456510641;0.7520730522185901;0.7271950746795314;0.741452716717584;0.7681365369415343;;;;
2021;2;0.9008309693372112;0.869792293719732;0.8826518401121449;0.8686286067691418;0.860916525286299;0.91647552286639;0.9291469100496572;0.9403156126179064;0.9429435233697294;0.015644553529178817;0.02831594071244603;0.03948464328069523;0.042112554032518235
2021;3;0.8753365265795561;0.8844671432977843;0.8881837664339158;0.876219026611505;0.868002592146706;0.9331678683302796;0.9189438718971885;0.9282198105018963;0.9122205396051765;0.057831341750723575;0.04360734531763244;0.05288328392234021;0.03688401302562039
2021;4;0.8231019407264469;0.7912049429486561;0.8211948586760182;0.8463113381149614;0.8411844478642123;0.7882344002402433;0.8185615059791984;0.8478186209979399;0.8492901984706783;-0.03486754048620366;-0.004540434747248523;0.024716680271492986;0.02618825774423139
2021;5;0.8417613569959341;0.9000541633011083;0.8792541441311394;0.9010553674690536;0.8804889438895902;0.9267026707897318;0.8870540358990809;0.8870970868007649;0.8710047501442724;0.08494131379379766;0.04529267890314681;0.045335729804830804;0.029243393148338237
2021;6;0.8377559228971324;0.8390509914831796;0.8417927732806992;0.8704084314289211;0.8591675874911546;0.8041928748172987;0.8227759051592666;0.8303259869787714;0.8355032054644941;-0.03356304807983368;-0.014980017737865836;-0.0074299359183610525;-0.0022527174326383292
2021;7;0.797182905880652;0.8854396923371617;0.8784768283182735;0.905476862367482;0.9015287582362208;0.8818718201186497;0.8811789015955562;0.8866217460811937;0.8940295287379726;0.08468891423799774;0.08399599571490424;0.08943884020054171;0.0968466228573206
2021;8;0.8440599593384401;0.8911431534438654;0.9010333308198925;0.9276961260694374;0.9312858232188226;0.8344959455245736;0.8506584089695416;0.8545250798162911;0.8568519196024865;-0.009564013813866512;0.006598449631101455;0.010465120477850975;0.012791960264046387
2021;9;0.8654521488841258;0.8654089421357958;0.886228691081098;0.921203823499402;0.9280415821028928;0.8268450042883677;0.8482345195348628;0.8608802334356093;0.8693193044181843;-0.03860714459575809;-0.017217629349262964;-0.004571915448516539;0.003867155534058475
2021;10;0.9692950247395412;0.8681762099576196;0.8784321733675483;0.932659526778995;0.9433228057629804;0.8773227654064902;0.8707599778988324;0.9028649169171755;0.9086347652276947;-0.09197225933305098;-0.0985350468407088;-0.06643010782236569;-0.060660259511846504
2021;11;0.9833458173968938;0.9172709729505552;0.9267711557999262;0.9751614202353736;0.9665381109443592;1.004669361783003;1.0014851735072812;1.016681603516192;1.0021782095073917;0.021323544386109172;0.018139356110387417;0.03333578611929833;0.01883239211049792
2021;12;0.9685192508537483;0.9538629417756952;0.9668928181788172;1.0079937794300171;0.9913158594259712;1.0200362333049853;1.0214296228147186;1.0291761256008745;1.0152339867070788;0.051516982451236926;0.05291037196097026;0.06065687474712611;0.046714735853330414
2022;1;0.9536525739504385;0.8997613175965897;0.8876682933227885;0.8807709006752399;0.8684751635105;0.9142850050764032;0.8965113380117263;0.8541016720653162;0.8556071041529476;-0.03936756887403525;-0.05714123593871212;;
2022;2;0.9777922437688652;0.878239642707694;0.8801385189255583;0.8871966224184115;0.8750690792827557;0.9209189154389009;0.9340439397027339;0.948877002882404;0.951881931728812;-0.05687332832996428;-0.04374830406613128;-0.028915240886461246;-0.02591031204005323
2022;3;0.9858574802816984;0.8753365265795561;0.8799018349386702;0.8839013531491293;0.8759984016035178;0.961279945953884;0.9622278279913292;0.9698373915163802;0.9657111252020723;-0.0245775343278144;-0.023629652290369174;-0.01602008876531824;-0.020146355079626144
2022;4;0.976693039406938;0.7550306831666325;0.801837275541253;0.8216716291886254;0.8416694586372586;0.8503075874205219;0.8897019622768002;0.9063355642685956;0.9306933889393239;;-0.08699107713013776;-0.07035747513834234;-0.04599965046761412
2022;5;0.9295671505810416;0.8417613569959341;0.8709077601485212;0.8667565484194043;0.8862318648507737;1.0191077843885277;1.0082870440549367;0.9917965887488939;0.9945396359114098;0.08954063380748611;0.07871989347389519;0.06222943816785231;0.06497248533036826
2022;6;0.9264307195280244;0.7856551207462965;0.8386193019544971;0.8407835606848075;0.8638779297225634;0.8703307620446809;0.8948478651498297;0.895202721885693;0.8963452428797493;-0.05609995748334351;-0.031582854378194636;-0.031227997642331307;-0.0300854766482751
2022;7;0.8965458576077656;0.7927775372886214;0.856020763518325;0.8581533477088681;0.8838180710701161;0.8952580498543975;0.9248244835054265;0.920552356246696;0.9335617345473327;-0.0012878077533681198;0.028278625897660836;0.02400649863893034;0.037015876939567094
2022;8;0.9841628391467064;0.828658843646841;0.8754487554087237;0.8867899879495295;0.910968892723238;0.9197511007155735;0.9154034962476824;0.922431057924165;0.9245563983375712;-0.0644117384311329;-0.06875934289902408;-0.061731781222541415;-0.05960644080913524
2022;9;1.0457348003847555;0.8129525637127077;0.8654233443852392;0.881034555531855;0.9100534885763468;0.9353847711960706;0.9514597357979212;0.9582074828660416;0.9734372464079041;-0.11035002918868497;-0.09427506458683432;-0.0875273175187139;-0.07229755397685145
2022;10;1.0527756308146632;0.8566005330651452;0.9018824815515936;0.9011478862105464;0.9399866263711042;1.0464229856405685;1.045348397343715;1.0386737385585467;1.054969328082164;-0.006352645174094729;-0.007427233470948202;-0.014101892256116466;0.0021936972675007382
